"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Nov 03 21:08:25 GMT 2024","Sun Nov 03 21:08:28 GMT 2024","2226","","com.devexperts.in.qatesting.LoginTest","","com.devexperts.in.qatesting.LoginTest","testLoginWithWrongCredentials","testLoginWithWrongCredentials()",""
"passed","Sun Nov 03 21:08:23 GMT 2024","Sun Nov 03 21:08:25 GMT 2024","2819","","com.devexperts.in.qatesting.LoginTest","","com.devexperts.in.qatesting.LoginTest","checkBalanceValue","checkBalanceValue()",""
"passed","Sun Nov 03 21:08:28 GMT 2024","Sun Nov 03 21:08:30 GMT 2024","2457","","com.devexperts.in.qatesting.LoginTest","","com.devexperts.in.qatesting.LoginTest","testSuccessfulLogin","testSuccessfulLogin()",""
