"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Tue Oct 29 21:13:10 GMT 2024","Tue Oct 29 21:13:10 GMT 2024","130","","com.devexperts.in.qa.testing.LoginTest","","com.devexperts.in.qa.testing.LoginTest","testLoginWithWrongCredentials","testLoginWithWrongCredentials()",""
"broken","Tue Oct 29 21:13:10 GMT 2024","Tue Oct 29 21:13:11 GMT 2024","75","","com.devexperts.in.qa.testing.LoginTest","","com.devexperts.in.qa.testing.LoginTest","testSuccessfulLogin","testSuccessfulLogin()",""
"broken","Tue Oct 29 21:13:10 GMT 2024","Tue Oct 29 21:13:10 GMT 2024","79","","com.devexperts.in.qa.testing.LoginTest","","com.devexperts.in.qa.testing.LoginTest","checkBalance","checkBalance()",""
