"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Nov 07 09:10:19 GMT 2024","Thu Nov 07 09:10:21 GMT 2024","2236","","com.devexperts.in.qa.testing.LoginTest","","com.devexperts.in.qa.testing.LoginTest","testSuccessfulLogin","testSuccessfulLogin()",""
"passed","Thu Nov 07 09:10:17 GMT 2024","Thu Nov 07 09:10:19 GMT 2024","2051","","com.devexperts.in.qa.testing.LoginTest","","com.devexperts.in.qa.testing.LoginTest","checkBalance","checkBalance()",""
"passed","Thu Nov 07 09:10:11 GMT 2024","Thu Nov 07 09:10:17 GMT 2024","5507","","com.devexperts.in.qa.testing.LoginTest","","com.devexperts.in.qa.testing.LoginTest","testLoginWithWrongCredentials","testLoginWithWrongCredentials()",""
