"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Nov 05 16:22:57 GMT 2024","Tue Nov 05 16:23:06 GMT 2024","9542","","com.devexperts.in.qatesting.IssueOrderSELL","","com.devexperts.in.qatesting.IssueOrderSELL","testIssueOrderSell","testIssueOrderSell()",""
"passed","Tue Nov 05 16:16:36 GMT 2024","Tue Nov 05 16:22:57 GMT 2024","380836","","com.devexperts.in.qatesting.IssueOrderBUY","","com.devexperts.in.qatesting.IssueOrderBUY","testIssueOrderBuy","testIssueOrderBuy()",""
"passed","Tue Nov 05 16:23:08 GMT 2024","Tue Nov 05 16:23:10 GMT 2024","2001","","com.devexperts.in.qatesting.LoginTest","","com.devexperts.in.qatesting.LoginTest","testSuccessfulLogin","testSuccessfulLogin()",""
"passed","Tue Nov 05 16:23:06 GMT 2024","Tue Nov 05 16:23:08 GMT 2024","1234","","com.devexperts.in.qatesting.LoginTest","","com.devexperts.in.qatesting.LoginTest","testLoginWithWrongCredentials","testLoginWithWrongCredentials()",""
