"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Nov 06 07:29:06 GMT 2024","Wed Nov 06 07:29:08 GMT 2024","1369","","com.devexperts.in.qatesting.configuration.tests.LoginTest","","com.devexperts.in.qatesting.configuration.tests.LoginTest","testSuccessfulLogin","testSuccessfulLogin()",""
"passed","Wed Nov 06 07:29:05 GMT 2024","Wed Nov 06 07:29:06 GMT 2024","1209","","com.devexperts.in.qatesting.configuration.tests.LoginTest","","com.devexperts.in.qatesting.configuration.tests.LoginTest","testUnsuccessfulLoginWithBlankUsername","testUnsuccessfulLoginWithBlankUsername()",""
"passed","Wed Nov 06 07:29:02 GMT 2024","Wed Nov 06 07:29:05 GMT 2024","2734","","com.devexperts.in.qatesting.configuration.tests.BalanceTest","","com.devexperts.in.qatesting.configuration.tests.BalanceTest","testInitialBalancesCheck","testInitialBalancesCheck()",""
