"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Nov 03 16:46:05 GMT 2024","Sun Nov 03 16:46:05 GMT 2024","17","","com.devexperts.in.qatesting.configuration.ExampleTest","","com.devexperts.in.qatesting.configuration.ExampleTest","example","example()",""
"passed","Sun Nov 03 16:46:25 GMT 2024","Sun Nov 03 16:46:27 GMT 2024","1206","","com.devexperts.in.qatesting.configuration.LoginTest","","com.devexperts.in.qatesting.configuration.LoginTest","testLoginWithoutUserData","testLoginWithoutUserData()",""
"passed","Sun Nov 03 16:46:21 GMT 2024","Sun Nov 03 16:46:23 GMT 2024","2274","","com.devexperts.in.qatesting.configuration.LoginTest","","com.devexperts.in.qatesting.configuration.LoginTest","testLoginWithWrongPassword","testLoginWithWrongPassword()",""
"passed","Sun Nov 03 16:46:16 GMT 2024","Sun Nov 03 16:46:21 GMT 2024","4508","","com.devexperts.in.qatesting.configuration.HomePageBalanceTest","","com.devexperts.in.qatesting.configuration.HomePageBalanceTest","checkAccountBalance","checkAccountBalance()",""
"passed","Sun Nov 03 16:46:27 GMT 2024","Sun Nov 03 16:46:29 GMT 2024","2243","","com.devexperts.in.qatesting.configuration.LoginTest","","com.devexperts.in.qatesting.configuration.LoginTest","testLoginWithWrongUser","testLoginWithWrongUser()",""
"passed","Sun Nov 03 16:46:23 GMT 2024","Sun Nov 03 16:46:25 GMT 2024","2055","","com.devexperts.in.qatesting.configuration.LoginTest","","com.devexperts.in.qatesting.configuration.LoginTest","testSuccessfulLogin","testSuccessfulLogin()",""
