"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Nov 06 07:26:23 GMT 2024","Wed Nov 06 07:26:26 GMT 2024","2025","","com.devexperts.in.qatesting.configuration.tests.LoginTest","","com.devexperts.in.qatesting.configuration.tests.LoginTest","testSuccessfulLogin","testSuccessfulLogin()",""
"passed","Wed Nov 06 07:26:22 GMT 2024","Wed Nov 06 07:26:23 GMT 2024","1569","","com.devexperts.in.qatesting.configuration.tests.LoginTest","","com.devexperts.in.qatesting.configuration.tests.LoginTest","testUnsuccessfulLoginWithBlankUsername","testUnsuccessfulLoginWithBlankUsername()",""
"passed","Wed Nov 06 07:26:18 GMT 2024","Wed Nov 06 07:26:22 GMT 2024","3245","","com.devexperts.in.qatesting.configuration.tests.BalanceTest","","com.devexperts.in.qatesting.configuration.tests.BalanceTest","testInitialBalancesCheck","testInitialBalancesCheck()",""
