"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Nov 05 16:52:55 GMT 2024","Tue Nov 05 16:59:28 GMT 2024","392921","","com.devexperts.in.qatesting.IssueOrderBUY","","com.devexperts.in.qatesting.IssueOrderBUY","testIssueOrderBuy","testIssueOrderBuy()",""
"passed","Tue Nov 05 16:59:28 GMT 2024","Tue Nov 05 16:59:39 GMT 2024","10459","","com.devexperts.in.qatesting.IssueOrderSELL","","com.devexperts.in.qatesting.IssueOrderSELL","testIssueOrderSell","testIssueOrderSell()",""
"passed","Tue Nov 05 16:59:39 GMT 2024","Tue Nov 05 16:59:40 GMT 2024","1414","","com.devexperts.in.qatesting.LoginTest","","com.devexperts.in.qatesting.LoginTest","testLoginWithWrongCredentials","testLoginWithWrongCredentials()",""
"passed","Tue Nov 05 16:59:40 GMT 2024","Tue Nov 05 16:59:42 GMT 2024","2164","","com.devexperts.in.qatesting.LoginTest","","com.devexperts.in.qatesting.LoginTest","testSuccessfulLogin","testSuccessfulLogin()",""
