"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Tue Oct 29 21:22:50 GMT 2024","Tue Oct 29 21:22:50 GMT 2024","80","","com.devexperts.in.qa.testing.LoginTest","","com.devexperts.in.qa.testing.LoginTest","testSuccessfulLogin","testSuccessfulLogin()",""
"broken","Tue Oct 29 21:22:50 GMT 2024","Tue Oct 29 21:22:50 GMT 2024","117","","com.devexperts.in.qa.testing.LoginTest","","com.devexperts.in.qa.testing.LoginTest","testLoginWithWrongCredentials","testLoginWithWrongCredentials()",""
"broken","Tue Oct 29 21:22:50 GMT 2024","Tue Oct 29 21:22:50 GMT 2024","89","","com.devexperts.in.qa.testing.LoginTest","","com.devexperts.in.qa.testing.LoginTest","checkBalance","checkBalance()",""
