"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Oct 28 06:28:26 GMT 2024","Mon Oct 28 06:28:32 GMT 2024","5479","","com.devexperts.in.qatesting.LoginTest","","com.devexperts.in.qatesting.LoginTest","checkBalancesAfterAccountCreation","checkBalancesAfterAccountCreation()",""
"passed","Mon Oct 28 06:28:32 GMT 2024","Mon Oct 28 06:28:34 GMT 2024","2232","","com.devexperts.in.qatesting.LoginTest","","com.devexperts.in.qatesting.LoginTest","testLoginWithWrongCredentials","testLoginWithWrongCredentials()",""
"passed","Mon Oct 28 06:28:34 GMT 2024","Mon Oct 28 06:28:36 GMT 2024","2477","","com.devexperts.in.qatesting.LoginTest","","com.devexperts.in.qatesting.LoginTest","testSuccessfulLogin","testSuccessfulLogin()",""
