"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Nov 18 19:52:08 GMT 2024","Mon Nov 18 19:52:09 GMT 2024","1407","","com.devexperts.in.qa.testing.LoginTest","","com.devexperts.in.qa.testing.LoginTest","testSuccessfulLogin","testSuccessfulLogin()",""
"passed","Mon Nov 18 19:52:01 GMT 2024","Mon Nov 18 19:52:04 GMT 2024","2403","","com.devexperts.in.qa.testing.HomePage","","com.devexperts.in.qa.testing.HomePage","checkBalance","checkBalance()",""
"passed","Mon Nov 18 19:52:04 GMT 2024","Mon Nov 18 19:52:08 GMT 2024","4236","","com.devexperts.in.qa.testing.LoginTest","","com.devexperts.in.qa.testing.LoginTest","testLoginWithWrongCredentials","testLoginWithWrongCredentials()",""
