"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Nov 04 20:48:59 GMT 2024","Mon Nov 04 20:49:01 GMT 2024","2226","","com.devexperts.in.qatesting.LoginTest","","com.devexperts.in.qatesting.LoginTest","testWithWrongCredentials","testWithWrongCredentials()",""
"passed","Mon Nov 04 20:48:53 GMT 2024","Mon Nov 04 20:48:57 GMT 2024","3886","","com.devexperts.in.qatesting.LoginTest","","com.devexperts.in.qatesting.LoginTest","checkBalanceValue","checkBalanceValue()",""
"passed","Mon Nov 04 20:48:57 GMT 2024","Mon Nov 04 20:48:59 GMT 2024","2400","","com.devexperts.in.qatesting.LoginTest","","com.devexperts.in.qatesting.LoginTest","testSuccessfulLogin","testSuccessfulLogin()",""
