"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Mon Nov 04 10:14:35 GMT 2024","Mon Nov 04 10:14:46 GMT 2024","11071","","com.devexperts.in.qatesting.IssueOrderBUY","","com.devexperts.in.qatesting.IssueOrderBUY","testIssueOrderBuy","testIssueOrderBuy()",""
"broken","Mon Nov 04 10:14:46 GMT 2024","Mon Nov 04 10:14:47 GMT 2024","334","","com.devexperts.in.qatesting.LoginTest","","com.devexperts.in.qatesting.LoginTest","testSuccessfulLogin","testSuccessfulLogin()",""
"broken","Mon Nov 04 10:14:46 GMT 2024","Mon Nov 04 10:14:46 GMT 2024","306","","com.devexperts.in.qatesting.IssueOrderSELL","","com.devexperts.in.qatesting.IssueOrderSELL","testIssueOrderSell","testIssueOrderSell()",""
