"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Nov 03 21:12:17 GMT 2024","Sun Nov 03 21:12:21 GMT 2024","3928","","com.devexperts.in.qatesting.LoginTest","","com.devexperts.in.qatesting.LoginTest","testSuccessfulLogin","testSuccessfulLogin()",""
"passed","Sun Nov 03 21:12:14 GMT 2024","Sun Nov 03 21:12:17 GMT 2024","3906","","com.devexperts.in.qatesting.LoginTest","","com.devexperts.in.qatesting.LoginTest","testLoginWithWrongCredentials","testLoginWithWrongCredentials()",""
"passed","Sun Nov 03 21:12:09 GMT 2024","Sun Nov 03 21:12:13 GMT 2024","4434","","com.devexperts.in.qatesting.LoginTest","","com.devexperts.in.qatesting.LoginTest","checkBalanceValue","checkBalanceValue()",""
